180 90
-179 -177 -175 -173 -171 -169 -167 -165 -163 -161 -159 -157 -155 -153 -151 -149 -147 -145 -143 -141 -139 -137 -135 -133 -131 -129 -127 -125 -123 -121 -119 -117 -115 -113 -111 -109 -107 -105 -103 -101 -99 -97 -95 -93 -91 -89 -87 -85 -83 -81 -79 -77 -75 -73 -71 -69 -67 -65 -63 -61 -59 -57 -55 -53 -51 -49 -47 -45 -43 -41 -39 -37 -35 -33 -31 -29 -27 -25 -23 -21 -19 -17 -15 -13 -11 -9 -7 -5 -3 -1 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93 95 97 99 101 103 105 107 109 111 113 115 117 119 121 123 125 127 129 131 133 135 137 139 141 143 145 147 149 151 153 155 157 159 161 163 165 167 169 171 173 175 177 179
-89 -87 -85 -83 -81 -79 -77 -75 -73 -71 -69 -67 -65 -63 -61 -59 -57 -55 -53 -51 -49 -47 -45 -43 -41 -39 -37 -35 -33 -31 -29 -27 -25 -23 -21 -19 -17 -15 -13 -11 -9 -7 -5 -3 -1 1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89
0.0788511 0.0808639 0.0825081 0.083656 0.0842864 0.0845004 0.0844383 0.0842084 0.0838679 0.083401 0.0818568 0.0793257 0.0766814 0.0739597 0.0713085 0.069092 0.067019 0.0649762 0.0629644 0.0610858 0.0595132 0.0580619 0.0566084 0.0550381 0.0534152 0.0518395 0.050324 0.0489593 0.0477086 0.0466474 0.0451692 0.0437664 0.0426309 0.0415799 0.0403345 0.039123 0.0379762 0.0370651 0.0364117 0.0359486 0.0357664 0.0359694 0.0370573 0.0387798 0.0411088 0.0442261 0.0487957 0.0544936 0.0613193 0.0685734 0.0747337 0.0788668 0.0816279 0.0847592 0.0866156 0.0875914 0.0881103 0.0892886 0.0913683 0.0931787 0.0939378 0.0945738 0.094942 0.0948738 0.0946122 0.0941475 0.0933323 0.0918759 0.0902925 0.0887108 0.0872192 0.085955 0.085111 0.0847772 0.0854664 0.0855765 0.0852009 0.084952 0.0848194 0.0848479 0.0850789 0.0855175 0.0852463 0.0836017 0.0822605 0.0811182 0.0801781 0.0794355 0.0788777 0.0784865 0.0782944 0.078289 0.0783983 0.0785769 0.0787471 0.0787708 0.0785108 0.0779944 0.0773245 0.0765545 0.0757022 0.0747754 0.0737845 0.0727398 0.07161 0.0703311 0.0688508 0.0672667 0.0668852 0.0664888 0.0660746 0.0659659 0.0659643 0.0657937 0.0654344 0.0649412 0.0643931 0.064114 0.0639215 0.0635406 0.0631953 0.0631645 0.0628949 0.0626876 0.0628249 0.0632348 0.0633582 0.0632272 0.0632738 0.0637018 0.063583 0.0629728 0.0626939 0.0629488 0.0638495 0.0651209 0.0666788 0.0689499 0.0721111 0.076025 0.0836275 0.0906071 0.09646 0.100324 0.101451 0.100356 0.102143 0.102879 0.103467 0.104086 0.104404 0.104453 0.10428 0.103884 0.103661 0.103856 0.104533 0.105733 0.107416 0.10942 0.110043 0.109753 0.109749 0.109876 0.11004 0.110429 0.111087 0.111913 0.111153 0.109636 0.108179 0.106768 0.105405 0.104107 0.102888 0.101747 0.100666 0.0996145 0.0985533 0.0974504
0.0819673 0.0843564 0.0863366 0.0876338 0.0881983 0.0882639 0.0880691 0.0877388 0.0872805 0.0865569 0.0851652 0.0830611 0.0806372 0.0780479 0.0754249 0.0733055 0.0712956 0.069324 0.0673385 0.0653074 0.0639868 0.0626066 0.0611289 0.0595038 0.0578075 0.056151 0.0544715 0.0530832 0.0515976 0.0500344 0.0486824 0.0474233 0.0462173 0.0451656 0.0440783 0.0428752 0.0415016 0.0405166 0.0399328 0.0396017 0.0395325 0.0398661 0.0410215 0.0428817 0.0455345 0.048872 0.0543355 0.060534 0.0686576 0.077596 0.0852956 0.0899408 0.0931174 0.0949561 0.0956269 0.095624 0.0950139 0.0952912 0.0967429 0.0980016 0.0988114 0.099484 0.100228 0.100516 0.100554 0.100021 0.0985828 0.0960369 0.0934702 0.0915206 0.089613 0.087851 0.0871162 0.0875082 0.0881601 0.0882385 0.0877772 0.0873252 0.0869666 0.0867591 0.0867519 0.0868371 0.0862193 0.0844899 0.0830982 0.082044 0.0811986 0.0805692 0.0801468 0.0799122 0.0799243 0.0801136 0.0804481 0.0808974 0.0814069 0.0817948 0.0816554 0.0811795 0.0806052 0.0799615 0.0792472 0.078464 0.0776217 0.076786 0.0759163 0.0749264 0.0737395 0.0726753 0.0720043 0.0715264 0.0710443 0.0711658 0.0713624 0.0712564 0.0708903 0.070359 0.0699079 0.0696441 0.0694528 0.0687024 0.0679335 0.0676779 0.0674913 0.067358 0.0674996 0.0677977 0.0680104 0.0680743 0.0679389 0.0680305 0.0682008 0.0682792 0.0684267 0.0690591 0.0704624 0.0724683 0.0748894 0.0782646 0.0830349 0.0889093 0.0961196 0.103793 0.110843 0.115948 0.117139 0.116727 0.115936 0.114318 0.113783 0.113641 0.113029 0.112248 0.111317 0.110009 0.10866 0.107807 0.107717 0.108198 0.109027 0.109961 0.110457 0.110586 0.110832 0.110946 0.110847 0.111085 0.11174 0.112537 0.111725 0.1103 0.108933 0.107526 0.106129 0.104802 0.103574 0.102448 0.101405 0.100402 0.0993761 0.0982655
0.0848255 0.0876727 0.0901733 0.0916636 0.0919803 0.091786 0.0914264 0.0910011 0.0904901 0.0897576 0.0885415 0.0868384 0.0848347 0.0826391 0.0803651 0.0781626 0.0760924 0.0742873 0.0725095 0.0707851 0.0692775 0.0678376 0.0662634 0.0645326 0.0626815 0.0607654 0.0589442 0.0574561 0.0556123 0.0535277 0.0523682 0.0514191 0.0498433 0.0485572 0.0476643 0.0465055 0.0450104 0.0441077 0.0436666 0.0437522 0.0439837 0.0446171 0.0460647 0.0482052 0.0516617 0.056543 0.0627131 0.070082 0.0788068 0.0881326 0.0962703 0.102114 0.105777 0.106627 0.106036 0.10489 0.103586 0.102711 0.102732 0.103301 0.103884 0.104882 0.105838 0.106657 0.10708 0.106411 0.104488 0.101409 0.0976776 0.0947321 0.0922687 0.0905845 0.0899959 0.0901164 0.0903955 0.0904316 0.0900926 0.0895135 0.0888613 0.0882677 0.0878141 0.087276 0.0863245 0.0849043 0.0834047 0.082519 0.0818372 0.0813724 0.081124 0.0810933 0.0812998 0.0816874 0.0822372 0.0829288 0.0837407 0.0846366 0.0845329 0.0841766 0.0837957 0.0833506 0.0828304 0.0822396 0.0816317 0.081029 0.0804516 0.0799244 0.079053 0.0782132 0.0776378 0.0773158 0.0772132 0.0773833 0.077557 0.0774199 0.0770054 0.0763803 0.0758691 0.0756289 0.0752891 0.0742834 0.0729676 0.0726476 0.0726069 0.0726128 0.0728678 0.0730385 0.0732724 0.0733762 0.0730325 0.0726219 0.073166 0.0740314 0.0745315 0.0756805 0.0779283 0.0810684 0.0848718 0.0897151 0.0958286 0.103069 0.111133 0.119598 0.127357 0.132837 0.134994 0.13453 0.132526 0.129477 0.126908 0.124784 0.12267 0.120848 0.119229 0.116711 0.113997 0.111851 0.11112 0.110752 0.110566 0.110573 0.110662 0.110794 0.110983 0.111035 0.11097 0.111274 0.111771 0.112051 0.11157 0.110429 0.109169 0.107841 0.10645 0.105135 0.103934 0.102862 0.101895 0.100989 0.100059 0.0989546
0.087215 0.0904687 0.0937363 0.0955982 0.0952856 0.094876 0.094459 0.0940336 0.0936934 0.09311 0.0921652 0.0908271 0.0893186 0.0875865 0.0856519 0.083601 0.0815541 0.0799965 0.0784042 0.0767871 0.0752357 0.0737435 0.072156 0.0703687 0.0683915 0.0662645 0.0641334 0.0626486 0.0603736 0.0574621 0.0567066 0.0560316 0.0541996 0.0524943 0.051074 0.0496522 0.048493 0.0477912 0.0476019 0.0479837 0.0487284 0.0499613 0.0521583 0.0553489 0.0596741 0.0652762 0.0723558 0.0806511 0.08993 0.0997071 0.108527 0.114465 0.118427 0.118462 0.116995 0.1148 0.112705 0.110632 0.109356 0.109195 0.109737 0.1108 0.111989 0.113455 0.114454 0.113877 0.111612 0.107874 0.10341 0.0992316 0.0960072 0.0941934 0.0933249 0.0929891 0.0929538 0.0928603 0.0924859 0.0916239 0.090595 0.0895758 0.0886186 0.0875905 0.0863765 0.0849931 0.0836358 0.0826312 0.0821367 0.0818698 0.0818264 0.0820209 0.0824224 0.0830028 0.0837419 0.0846104 0.08555 0.0863846 0.0867845 0.0868834 0.0868562 0.0866898 0.0864246 0.0860827 0.0856907 0.085292 0.0849759 0.0847311 0.0842755 0.0837952 0.0834774 0.083442 0.083659 0.0840636 0.0844247 0.0842278 0.0838366 0.0831444 0.0825141 0.0823469 0.0818464 0.0809642 0.0798303 0.0794757 0.0792371 0.0791369 0.0796226 0.0795432 0.0798281 0.0799833 0.0794637 0.0788378 0.0789145 0.0795694 0.080791 0.0830111 0.0863937 0.0907168 0.0957953 0.101961 0.109367 0.117953 0.127525 0.137297 0.145469 0.151596 0.154183 0.152956 0.150146 0.14607 0.141605 0.137065 0.132886 0.129592 0.127142 0.123531 0.120106 0.117502 0.115671 0.114249 0.112808 0.111944 0.111403 0.111052 0.110989 0.110875 0.11094 0.111223 0.111518 0.111588 0.111198 0.110442 0.109482 0.107793 0.106348 0.105102 0.103959 0.103009 0.102214 0.101517 0.100868 0.0995485
0.0889585 0.0922636 0.0954531 0.0973757 0.09756 0.0974243 0.0972467 0.0970788 0.0969336 0.096633 0.0960762 0.0952458 0.094206 0.0929313 0.0913767 0.0896643 0.0879947 0.0864803 0.0849828 0.0834099 0.0818388 0.0804269 0.0789915 0.0772766 0.0753379 0.0734098 0.0715524 0.0710442 0.0689032 0.0642165 0.0642681 0.0635013 0.0613249 0.058725 0.0558173 0.0537065 0.0525443 0.0518979 0.0519155 0.0526341 0.0539426 0.0560764 0.0592099 0.0633568 0.0685447 0.074887 0.0825832 0.0914934 0.101382 0.111374 0.120176 0.126073 0.129299 0.129808 0.128084 0.125338 0.122324 0.11926 0.116772 0.115759 0.116141 0.117682 0.11967 0.121974 0.123495 0.122883 0.120168 0.115468 0.109881 0.10444 0.0999759 0.0983836 0.0972496 0.0963278 0.0960443 0.0956387 0.0949384 0.0937191 0.0922934 0.0908346 0.0893822 0.0879149 0.0864191 0.0849486 0.0836188 0.0825428 0.0821528 0.0821087 0.0823061 0.082718 0.0833145 0.0840797 0.0849907 0.0860085 0.0870626 0.0880286 0.0887877 0.0893612 0.0898059 0.0899422 0.0900165 0.0899596 0.0897368 0.0894934 0.0893926 0.0894371 0.0894506 0.0894272 0.0894878 0.0897562 0.0902417 0.0908456 0.0913392 0.0915054 0.0914611 0.0911986 0.0908016 0.0903106 0.0897523 0.0892035 0.0886385 0.0884507 0.0883094 0.0882646 0.0883911 0.0884188 0.088509 0.088419 0.0874901 0.086242 0.0858647 0.086274 0.0878574 0.0911985 0.0957954 0.101287 0.107504 0.114858 0.123307 0.132977 0.144224 0.155233 0.163781 0.169746 0.172258 0.171067 0.167812 0.163048 0.156934 0.150082 0.14342 0.138299 0.134656 0.13066 0.127363 0.124632 0.121869 0.119913 0.117233 0.115236 0.113483 0.111845 0.111179 0.110955 0.111235 0.111511 0.111599 0.111382 0.110829 0.110035 0.108984 0.10755 0.106106 0.10486 0.103831 0.102977 0.102248 0.101587 0.100891 0.0996222
0.0901041 0.0931941 0.0959311 0.0978309 0.0988667 0.0993839 0.0997156 0.0999831 0.100197 0.100299 0.100223 0.0999269 0.0994132 0.0986789 0.0974902 0.0961339 0.0948284 0.0935787 0.0922746 0.0908112 0.0891621 0.088066 0.0869872 0.0854241 0.0835682 0.0823188 0.0826089 0.0836982 0.0830007 0.079506 0.0766762 0.074391 0.0718069 0.0681427 0.0634772 0.0598035 0.0577977 0.0568495 0.0568264 0.0577469 0.0596748 0.0626806 0.0668062 0.0718307 0.0778103 0.0849544 0.0931823 0.102347 0.112959 0.12303 0.131574 0.137738 0.140625 0.141027 0.138944 0.13579 0.132188 0.128068 0.124061 0.122921 0.123492 0.12592 0.129504 0.132771 0.134599 0.13367 0.129792 0.123935 0.117252 0.111227 0.10662 0.103964 0.102201 0.100915 0.0999466 0.0989176 0.0975921 0.0959324 0.0940666 0.0921306 0.0901955 0.088297 0.0864775 0.0848345 0.0834861 0.0824543 0.0819516 0.0821796 0.0826177 0.0832296 0.0840126 0.0849564 0.0860383 0.0872201 0.0884416 0.0896207 0.0906931 0.0916381 0.0924303 0.0930349 0.093537 0.0938562 0.0937982 0.0936864 0.0938099 0.094319 0.0947754 0.0951561 0.0955483 0.0961406 0.0969415 0.0978245 0.0986281 0.0992457 0.0997652 0.10015 0.100105 0.0997044 0.0993192 0.0989528 0.098701 0.098988 0.0990405 0.098967 0.098856 0.0988603 0.0988402 0.0983677 0.097144 0.0955377 0.0949983 0.0955575 0.0971346 0.100395 0.105863 0.112544 0.119932 0.128518 0.138133 0.148317 0.161567 0.173591 0.182132 0.187425 0.189741 0.189157 0.18567 0.179852 0.172393 0.163995 0.155384 0.148701 0.144787 0.140239 0.137296 0.134952 0.131895 0.129218 0.125648 0.121629 0.117524 0.113832 0.112225 0.112188 0.112437 0.112559 0.112327 0.11166 0.110663 0.109576 0.108344 0.106947 0.105554 0.104313 0.103378 0.102614 0.101895 0.10116 0.100291 0.099093
0.0908743 0.0937694 0.0963228 0.0983431 0.099859 0.101006 0.101937 0.102751 0.103465 0.10408 0.104569 0.104831 0.104832 0.104545 0.103827 0.102898 0.102064 0.101263 0.100332 0.0992228 0.0980077 0.0970811 0.0961789 0.0947452 0.0929358 0.091917 0.0947703 0.0982709 0.100122 0.0952016 0.0910743 0.0877639 0.0847363 0.0803685 0.0734086 0.067489 0.0644763 0.062999 0.0626732 0.0634762 0.0659569 0.0699072 0.0749618 0.080622 0.0871793 0.0950843 0.104361 0.114348 0.1248 0.134838 0.143253 0.14959 0.151996 0.151634 0.14932 0.145875 0.141743 0.13719 0.133005 0.131203 0.131703 0.13503 0.140434 0.144989 0.147018 0.145751 0.14092 0.133789 0.125423 0.119326 0.114515 0.110705 0.108082 0.106269 0.104639 0.102856 0.100783 0.098479 0.0960459 0.093575 0.0911345 0.0887938 0.0865994 0.084688 0.0833438 0.0824267 0.0819039 0.0822244 0.0828231 0.0836011 0.0845538 0.0856708 0.0869311 0.0883023 0.0897324 0.091163 0.0925401 0.093824 0.0949823 0.0959991 0.096881 0.0975487 0.0979468 0.0982119 0.0986791 0.0995144 0.100275 0.100938 0.101609 0.10255 0.10376 0.105069 0.106304 0.107415 0.108545 0.109734 0.110127 0.109942 0.110013 0.110294 0.110615 0.110952 0.111074 0.11094 0.110732 0.110763 0.110734 0.110067 0.108652 0.107229 0.10667 0.107073 0.108529 0.110833 0.117483 0.125021 0.133554 0.143454 0.154515 0.166661 0.179869 0.192542 0.200676 0.20562 0.207764 0.207093 0.203306 0.196691 0.188211 0.179105 0.17074 0.163571 0.158546 0.154562 0.151619 0.149171 0.146229 0.142297 0.136993 0.130775 0.124294 0.117543 0.115385 0.115279 0.115103 0.11477 0.114039 0.112717 0.110912 0.109463 0.107896 0.106279 0.104751 0.103428 0.102682 0.101985 0.101274 0.100501 0.0995903 0.0986012
0.091473 0.0942633 0.0967782 0.0989471 0.100811 0.102505 0.104051 0.105491 0.106808 0.108012 0.10915 0.109996 0.110509 0.110678 0.110498 0.110037 0.109805 0.109566 0.109128 0.108531 0.107892 0.107257 0.106346 0.104823 0.103501 0.104413 0.108385 0.112415 0.113048 0.109774 0.105701 0.102241 0.0986892 0.0935325 0.084872 0.0759001 0.0735695 0.0709383 0.0701483 0.0705506 0.0730346 0.0774852 0.083609 0.0893676 0.0964389 0.105254 0.115737 0.126394 0.13643 0.146112 0.154817 0.161221 0.163585 0.162581 0.159721 0.155873 0.151221 0.146458 0.142259 0.139982 0.139669 0.143901 0.151847 0.157941 0.160133 0.158813 0.153824 0.145864 0.136647 0.129292 0.123389 0.118387 0.11491 0.112457 0.110079 0.107451 0.104481 0.101405 0.0983071 0.095249 0.0922619 0.0894929 0.0869411 0.0845978 0.0833712 0.0825754 0.0821535 0.0822768 0.0829498 0.083859 0.0849646 0.0862514 0.0876999 0.0892801 0.090951 0.0926625 0.094361 0.0959969 0.0975327 0.0989456 0.100217 0.101321 0.102254 0.103105 0.10403 0.105042 0.105968 0.106776 0.107648 0.108969 0.110715 0.112555 0.114278 0.115757 0.117373 0.119069 0.120144 0.120555 0.121372 0.122575 0.123468 0.123991 0.124273 0.124133 0.123661 0.124038 0.124143 0.123404 0.121884 0.120289 0.120062 0.120476 0.122437 0.125904 0.131689 0.139065 0.148184 0.159127 0.171402 0.184646 0.198098 0.210066 0.218851 0.224184 0.226263 0.225199 0.221144 0.214249 0.205033 0.195538 0.187118 0.17962 0.174351 0.170963 0.168423 0.166281 0.163397 0.158637 0.151344 0.142879 0.134792 0.12744 0.122957 0.120797 0.119418 0.118324 0.116991 0.114802 0.112286 0.109953 0.107775 0.105719 0.103867 0.102425 0.101819 0.101186 0.100507 0.0997477 0.0989334 0.098056
0.0920307 0.0947934 0.0973403 0.0996557 0.10181 0.103987 0.106166 0.108299 0.11033 0.11225 0.114018 0.115477 0.11653 0.117243 0.117676 0.117935 0.118204 0.118459 0.11852 0.118455 0.118398 0.118369 0.118023 0.116361 0.114558 0.116929 0.123137 0.128338 0.127666 0.124424 0.120648 0.117363 0.113343 0.107545 0.0998783 0.0923222 0.0872514 0.0829021 0.079813 0.0791795 0.0809359 0.0851056 0.0909085 0.0973454 0.105253 0.115153 0.126427 0.137641 0.147554 0.157105 0.166431 0.173629 0.175484 0.173932 0.170619 0.16611 0.160858 0.155613 0.15146 0.149435 0.149867 0.155061 0.163745 0.171054 0.174868 0.173706 0.168384 0.15955 0.149622 0.140557 0.133206 0.127598 0.123187 0.119514 0.11604 0.112428 0.108602 0.104724 0.1009 0.0972043 0.0936871 0.0904895 0.0876637 0.0853486 0.0837833 0.0828323 0.0823623 0.0823433 0.0829958 0.0840097 0.0852593 0.0867141 0.0883571 0.0901637 0.092101 0.0941236 0.0961715 0.098182 0.100108 0.101926 0.103627 0.105205 0.106667 0.10805 0.109426 0.110787 0.111906 0.112844 0.113784 0.115532 0.117906 0.120219 0.122328 0.124163 0.126196 0.128582 0.130549 0.132031 0.133577 0.1353 0.136695 0.137653 0.138412 0.138702 0.138733 0.139118 0.139153 0.138363 0.13685 0.135396 0.135111 0.135964 0.138029 0.141682 0.147325 0.154807 0.163992 0.175056 0.18822 0.202335 0.216415 0.228456 0.237753 0.243473 0.245464 0.243979 0.239258 0.23188 0.222237 0.212612 0.203649 0.196256 0.191305 0.188757 0.187423 0.185991 0.182989 0.177267 0.168574 0.158379 0.148258 0.139374 0.132691 0.128217 0.125147 0.122962 0.121096 0.117569 0.114109 0.110913 0.108016 0.105415 0.103069 0.101439 0.100859 0.1003 0.0996809 0.0990254 0.0982949 0.0974726
